image,description
1000268201_693b08cb0e.jpg,Startseq A child in a pink dress is climbing up a set of stairs in an entry way Endseq
1000268201_693b08cb0e.jpg,Startseq A child in a pink dress is climbing up a set of stairs in an entry way Endseq
1000268201_693b08cb0e.jpg,Startseq A girl going into a wooden building Endseq
1000268201_693b08cb0e.jpg,Startseq A little girl climbing into a wooden playhouse Endseq
1000268201_693b08cb0e.jpg,Startseq A little girl climbing the stairs to her playhouse Endseq
1000268201_693b08cb0e.jpg,Startseq A little girl in a pink dress going into a wooden cabin Endseq
1001773457_577c3a7d70.jpg,Startseq A black dog and a spotted dog are fighti Endseq
1001773457_577c3a7d70.jpg,Startseq A black dog and a tri-colored dog playing with each other on the road Endseq
1001773457_577c3a7d70.jpg,Startseq A black dog and a white dog with brown spots are staring at each other in the street Endseq
1001773457_577c3a7d70.jpg,Startseq Two dogs of different breeds looking at each other on the road Endseq
1001773457_577c3a7d70.jpg,Startseq Two dogs on pavement moving toward each other Endseq
1002674143_1b742ab4b8.jpg,Startseq A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl Endseq
1002674143_1b742ab4b8.jpg,Startseq A little girl is sitting in front of a large painted rainbow Endseq
1002674143_1b742ab4b8.jpg,Startseq A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it Endseq
1002674143_1b742ab4b8.jpg,Startseq There is a girl with pigtails sitting in front of a rainbow painting Endseq
1002674143_1b742ab4b8.jpg,Startseq Young girl with pigtails painting outside in the grass Endseq
1003163366_44323f5815.jpg,Startseq A man lays on a bench while his dog sits by him Endseq
1003163366_44323f5815.jpg,Startseq A man lays on the bench to which a white dog is also tied Endseq
1003163366_44323f5815.jpg,Startseq a man sleeping on a bench outside with a white and black dog sitting next to him Endseq
1003163366_44323f5815.jpg,Startseq A shirtless man lies on a park bench with his dog Endseq
1003163366_44323f5815.jpg,Startseq man laying on bench holding leash of dog sitting on grou Endseq
1007129816_e794419615.jpg,Startseq A man in an orange hat starring at something Endseq
1007129816_e794419615.jpg,Startseq A man wears an orange hat and glasses Endseq
1007129816_e794419615.jpg,Startseq A man with gauges and glasses is wearing a Blitz hat Endseq
1007129816_e794419615.jpg,Startseq A man with glasses is wearing a beer can crocheted hat Endseq
1007129816_e794419615.jpg,Startseq The man with pierced ears is wearing glasses and an orange hat Endseq
1007320043_627395c3d8.jpg,Startseq A child playing on a rope net Endseq
1007320043_627395c3d8.jpg,Startseq A little girl climbing on red roping Endseq
1007320043_627395c3d8.jpg,Startseq A little girl in pink climbs a rope bridge at the park Endseq
1007320043_627395c3d8.jpg,Startseq A small child grips onto the red ropes at the playground Endseq
1007320043_627395c3d8.jpg,Startseq The small child climbs on a red ropes on a playground Endseq
1009434119_febe49276a.jpg,Startseq A black and white dog is running in a grassy garden surrounded by a white fence Endseq
1009434119_febe49276a.jpg,Startseq A black and white dog is running through the grass Endseq
1009434119_febe49276a.jpg,Startseq A Boston terrier is running in the grass Endseq
1009434119_febe49276a.jpg,Startseq A Boston Terrier is running on lush green grass in front of a white fence Endseq
1009434119_febe49276a.jpg,Startseq A dog runs on the green grass near a wooden fence Endseq
1012212859_01547e3f17.jpg,"Startseq A dog shakes its head near the shore , a red ball next to it Endseq"
1012212859_01547e3f17.jpg,Startseq A white dog shakes on the edge of a beach with an orange ball Endseq
1012212859_01547e3f17.jpg,"Startseq Dog with orange ball at feet , stands on shore shaking off wat Endseq"
1012212859_01547e3f17.jpg,Startseq White dog playing with a red ball on the shore near the water Endseq
1012212859_01547e3f17.jpg,Startseq White dog with brown ears standing near water with head turned to one side Endseq
1015118661_980735411b.jpg,Startseq A boy smiles in front of a stony wall in a city Endseq
1015118661_980735411b.jpg,Startseq A little boy is standing on the street while a man in overalls is working on a stone wall Endseq
1015118661_980735411b.jpg,Startseq A young boy runs aross the street Endseq
1015118661_980735411b.jpg,Startseq A young child is walking on a stone paved street with a metal pole and a man behind him Endseq
1015118661_980735411b.jpg,Startseq Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him Endseq
1015584366_dfcec3c85a.jpg,Startseq A black dog leaps over a log Endseq
1015584366_dfcec3c85a.jpg,Startseq A grey dog is leaping over a fallen tree Endseq
1015584366_dfcec3c85a.jpg,Startseq A large black dog leaps a fallen log Endseq
1015584366_dfcec3c85a.jpg,Startseq A mottled black and grey dog in a blue collar jumping over a fallen tree Endseq
1015584366_dfcec3c85a.jpg,Startseq The black dog jumped the tree stump Endseq
101654506_8eb26cfb60.jpg,Startseq A brown and white dog is running through the snow Endseq
101654506_8eb26cfb60.jpg,Startseq A dog is running in the sn Endseq
101654506_8eb26cfb60.jpg,Startseq A dog running through snow Endseq
101654506_8eb26cfb60.jpg,Startseq a white and brown dog is running through a snow covered field Endseq
101654506_8eb26cfb60.jpg,Startseq The white and brown dog is running over the surface of the snow Endseq
101669240_b2d3e7f17b.jpg,Startseq A man in a hat is displaying pictures next to a skier in a blue hat Endseq
101669240_b2d3e7f17b.jpg,Startseq A man skis past another man displaying paintings in the snow Endseq
101669240_b2d3e7f17b.jpg,Startseq A person wearing skis looking at framed pictures set up in the snow Endseq
101669240_b2d3e7f17b.jpg,Startseq A skier looks at framed pictures in the snow next to trees Endseq
101669240_b2d3e7f17b.jpg,Startseq Man on skis looking at artwork for sale in the sn Endseq
1016887272_03199f49c4.jpg,Startseq A collage of one person climbing a cliff Endseq
